,Comments_lem
61,commandé showroomprive lunch box lors vente début mai colis arrive parfait fille goûter belle soeur lanières celui fille craqué bon ca peut arriver mauvaise manipulation puis jours plus tard mien craque dimanche juin celui belle sœur produits irréparables coûté plus frais port sachant si j achète site faire économies donc décide faire mail photo montrer contenu sac quand ances lâché répond délais jours retour dépassé contacte téléphone explique situation souhaite renvoyer lunch bag remboursement avoir là envoit debut gentillement boulet répetant boucle délais dépassé explique nouveau utilisation semaines cher payé prend haut rien peut etre fait peux assoir lunch box honte parle mur demande responsable met attente puis dis service a contacté a dit chose peuvent rien demande contact fournisseur car marchandise très mauvaise qualité encore refus ose dire dû mal utiliser article oui doi faire lancés lunch box pendant pause dejeuner qu elle mauvaise fois scandaleux geste garder client politesse a fin m écoutait plus choquée compte plus commander site commande veepee a servive client top gen parlent correctement polis vulgaires robot prennent client pigeon compte rester là
62,mois demi attente recevoir mauvais article
63,bluffée service client d attente téléphone réponse claire remboursement rapide cela donne confiance retournerai
64,commande point livraison modifié date livraison retardée commande point livraison modifié colis explosé destruction contenu emballage adapté remboursement toujours effectué semaines après réception service retour site indique jours ouvrés et lorsque j appelle sav rencontre degré mauvaise foi rarement égalé j ai très désagréable impression d être prise j étais cliente showroomprive depuis longtemps tant pi passe concurrence
65,montre marque bracelet s est décollé premier jour bizarre veut rembourser mauvaise expérience
66,vente facticej ai commandé siège auto showroomprivé a ça mois cette commande également deux autres article quand allés chercher article arrivés mai seuls article rayon raison ignorons ème article disant retourné service retour or point retrait a jamais entrepôts eme article aussi dame poste jour là point relai a laissé prendre photo l écran outil travail dessus affiché message attention manque paquet commande client peut néanmoins retirer paquets contre remboursement si nécessaire revenir plus tard chercher manquants siège auto donc disparu après plusieurs tentatives trouver numéro service client showroomprive aucune information n est donnée site j ai réussi joindre monsieur toute évidence n était fait situation ainsi m informa colis retourné service retour showroom qu il maintenant impossible renvoyer j allai donc être remboursé fallait faire croix siège bébé j attendais depuis plus d un mois lequel j avais suspendu toutes autres démarches d aquissition lorsque demandais monsieur qu elle raison eme article retourné alors autres pu être retiré jour su quoi répondre lors fis remarquer monsieur eme article n était jamais arrivé point relai là encore n eu réponse ainsi compris j avais trompé showroom dépit lois protection consommateurs procédé vente factice j avais acheté siège auto n existait moins quantité suffisante satisfaire nombre vente faites site face limites d intervention monsieur répondre interrogation soulevait situation demandais donc parler responsables là m assura l un d entre allait rappeler lendemain mai aujourd hui mai j attends toujours cette situation inacceptable aucun site vente a droit juridiquement d abuser consommateur faisant miroiter produits qu il peut ensuite fournir s agit là d une vente factice procédé puni loi aussi j ai pris photo toutes étapes d acheminement article autre l écran l appareil enregistre arrivées départs commandes dépôt retrait d autres article commandés certain compte rester là showroomprive leurs agissements répréhensibles doivent d en répondre d autant pendant mois d attente argent compte quand bien showroomprivé viendrait rendre bénéficié pendant mois sans raison aucune puisque site a vendu produit n existait pa par ailleurs menteurs assurant ainsi siège retourné alors qu il n était jamais arrivé façons faire mafieuses malhonnêtes vais donc constituer dossier malversation m adresser directement association consommateur ainsi assistance juridique dont avocats spécialistes cœurs défendre situation
67,très déçu retour d un article trop petit j ai voulu essayer site tant nouvelle cliente recommanderai plus celui ci j ai commandé paires chaussures pointure seule paire va autres entant trop petite regarde retourner paires aperçoit site m informe qu il retenue retour différence remboursée trouve ça honteux sachant trompée pointure tarif pratiquement moitié d une paire devais renvoyer site éviter
68,passée commande hier soir lot valise tous bien passé jusqu niveau valider opération banque fois validation faites niveau banque site redirige vers application showroomprivé disant commande a bien enregistré sous numéro suivant sauf aucun numéro commande apparaît reçu mail confirmation commande enceinte besoin valise espère vraiment être prélevé car numéro commande ni mail confirmation
69,j ai acheté store banne mar colis vérifié tout okquelle surprise hier quand l avon monté impossible régler n est droitaprès avoir regarder plusieurs forum plusieurs personnes problème donc store inutilisable perduje vais appeler demain pff dégouté
70,très deçu j ai commande valise n est jamais arrivée marquée comme livrée comme signature gardien sachant aucun gardien résidence j etais chez toute journée toute demarche faire réclammation attestation l honneur photocopie cni process dure jours j espere bien être remboursée l article renvoyé changez transporteur showroom gls ca c était ère commande ca dernière
71,bonjour stupéfaite service client showroomprivé lors réception commande aperçois deux article commandés bon téléphone service client demande faire retour jusque là aucun problème sauf étiquette prépayée disponible espace ligne contacte service client mail nouveau téléphone jour toujours étiquette prépayée faire retour cela fait semaine quasiment parle bug informatique donc doi asseoir remboursement sixième appel service client fois dit rappeler heures seconde fois heures maintenant dit rappeler minute moque t on répond mail suivre procédure remboursement comprends très bien procédure remboursement peux renvoyer colis sans étiquette prépayée service client désagréable phrase toutes faites sans aucune solution apporter donc résumer trompent commande première fois cela arrive font aucun geste commercial plus fournissent étiquette prépayée remboursement totalement insatisfaite compte faire appel association consommateurs honteux moquer ainsi client
72,gen téléphone incompétents excusent règlent aucun problème vaisselle très mal emballé expédié poste jamais vu vaisselle poste vaisselle cassée aucun recours showroomprive refuse renvoyer assiette cassée ébréchées propose dédommagement or commandé service complet assiettes manquantes pénalisent service donc déconseille fortement site car amis également gros problèmes
73,j ai effectué commande produits décevants correspondent taille décide d appeler sav faire part souhait retour conseillère téléphone désagréable j avais l impression déranger a raccrochée nez quand fait comprendre qu elle a parler cliente fidèle achète régulièrement c est première fois j ai personne aussi désagréable retour plus dit payerai retour alors j ai aussi payé frais livraisons lors commande décue réfléchirai deux fois avant d acheter chez
74,achat meuble télévision composition murale donc éléments fixer mur achat e délai super long bon prenons car plaît livraison colis abîmés montage compliqué notice bidon visse trop longue meuble abîmé impossible mettre télévision dessus car rien n est prévus passer fils ni intérieur ailleur obligé faire trous bref trop déçu prix abusé conseil tout
75,bonjour commandé article payé frais livraison marchandise livré intérieur domicile livreur appelle demande descendre récupérer colis refusé celui ci dit mettre colis ascenseur à jour toujours reçu colis aussi mail disant colis bien reçu jour toujours nouvelles je déconseille commander site show room privé plus an client chez recommence plus irai concurrence
76,très déçue commande passée vente minelli commande paires chaussures identiques couleurs différentes dont voulais particulièrement résultat commande arrivée peu retard qql jours donc rien grave mauvaise paire chaussures place celle voulais évidemment pomme puisque modèle vente permets d avoir paire souhaitai échange renvois mauvaise n ai attendre prochaine vente qu on dit coup repayer frais port vont biensûr première fois qu on fait coup prochaine fois j irai surtout voir concurrence
77,showrooprivé a fuir acheter bijou di giorgio j ai commandé chez showroomprive bague marque di giorgio argent partie plaque or argent après mois celle ci présente défaut plaquage or tient j ai contacté showoomprive expliquant problème malheureusement m annonce garantie bague seulement mois jours après cette garantie showroomprivé veut rien faire service contactes téléphoniques déplorables personnes contact n ont rien faire éventuels litiges problèmes contentes lira leurs écrans plus mal aimables impossible d avoir correspondant sérieux voilà retour d expérience plus question commander quoi soi chez vais faire porte parole afin cela sache quand compare service amazon veepee cette société showrooprive années lumières d un service client convenable ca litige
78,j ai commandé bague bracelet guessgros lol après avoir porté bague seule journée celle ci toute oxydé bracelet quand présenter trace rayures de article contre façon ça c est sûr bagues banal petits commerce s oxyde moins vite
79,frais transport exorbitant mois délai expédition recevoir finale deux produits ba gamme pourtant chers sans oublier retour point relais conclusion déjà déconseillé finalement dû écouter plutôt perdre rien
80,nul chez nul plusieurs commandes passées après plusieurs mois d attente l article arrive n est bon ça commande entre août juin a fuir absolument perte temp même s il rembourse frais d envoi qu il rembourse mal incompétent
