,Comments_lem
18430,déçu produit détachant vêtement photo montre gros quantité reçois toute petite bouteille très déçu prix arnaque
18431,voici plusieurs fois reçois produits mauvaises qualités correspondent tout commande effectuée bref site très bien fait attire produits vraiment hauteur prenez garde commandez
18432,après avoir passer commande avril toujours l attente commande avril suivi collisimo bouge après email a vente privée m indique qu il rappelleront avant avril décide contact centre collisimo m indique colis n est parti j appelle dinc vente privée dit qu il vont faire nécessaire dis vais attendre désire remboursement répondre effectuera remboursement meilleurs délais quoi meilleurs délais sait madame verrez bien incompétents premier fois commande dernière
18433,vente privée attention arnaque achat portique galdar adolescent marque soulet cette entreprise pert selon leurs propos transporteur colis première commande colis pieds m après multiple appels mail arrive enfin obtenir remboursement car impossible renvoyer cet article répond nouvelle vente mois demi deux mois plus patiente donc fais nouveau commande livraison prévue plus tard toujours rien après multiple appels mail livraison différée plus tard avril aujourd hui toujours aucune nouvelle réitère demande suivi mail téléphone explique ya souci commande arrivée chez puis fait jamais arrivée jamais version tout comme première commande article deux commandes pourtant bien débitée compte banque reçoit appel matin vente privee incapable dire date livraison si recevrais commande jour fait arrivera jamais propose bons achats excuse tout fait hors question recommande cette entreprise si malhonnête vais devoir encore fâcher obtenir remboursement juste honteux pourquoi tels agissements condamnés car attendant vivent argent
18434,inconditionnelle depuis an vp a beaucoup perdu qualité relationnelle trop erreurs dernièrement article manquants aucune compassion a époque recevais sans demander avoirs bons achat contrepartie cela fait mois cumule erreurs part sans rien
18435,connexion début ventes déjà moitié d épuisé grosse arnaque
18436,site bien fait malgre petit probleme bien resolu
18437,prendra plus commande taille reçois vivement déconseillé fuir tant possible aucun service client aucun contact juste arnaque évaluation
18438,l article journal précisant vente privée a épinglé faire réellement promotion a savoir gonflé prix faire croire a réduction a portée tord car passé malhonnête
18439,fuyez vente paez chaussures tres mauvaise qualité a causé graf brûlures fille ainsi autre cliente fille egalement commandé qu elle a pharmacie soigner également blessures nombreux mois tractation usant n obtenir aucune indemnisation fourniture certificat medical etc tiennent haleine dit qu il remettraient plus cette marque vente faux site aujourd hui mauvaise qualite peau detachait photo fournies l appui ce menteurs voleurs cliente depuis plus an moyenne a commandes mois s en fichent la qualité suivi plus rendez vous je veux plus entendre parler préfère magasins consommer moins
18440,frais livraison restent trop onéreuses faudrait pouvoir rassembler commandes quand choisit article différents jour promos arrive jamais si première heure donc sais comment font autres
18441,a fuirde grand voleursj passé commande guess a e vente privee a bloqué compte donc plus moyen savoir commande bien sûr aucun remboursement comme plus accès compte peux plus rien faire appeler téléphone dame dit qu elle désolée qu elle va remonter information ben depuis temp j attends toujours rien donc attention grand arnaqueurs commander chez fuyez voleurs
18442,avoir passer commande différente grand retard livraison facturer recevoir article mois plus tard sans excuse sans prévenir sans rien carrément cru etais faite arnaquer dernière commande site aussi
18443,livraison incomplète n arrive avoir date livraison complément impossible d annuler surtout être rembourser d un montant élevé plus dernière commande site
18444,diversité marque proposées délais livraison respectés
18445,app site très faciles d usage excellente variété marque produits proposés grand choix tailles disponibles respect délais livraison procédure retour facile aimerait juste avoir livraison luxembourg moins point relais ville
18446,réservation d un voyage payé nuitées sauf dernier jour décollage l avion h matin arnaque déconseille vivement sav a très déplaisant
18447,parce parfois satisfait parfois agacé perplexe devant ventes si prend temp m informer ailleurs internet très malhonnêtes qualité contestable tarif suspect plus intéressant ailleurs montres vins gadget diver comprend pourquoi vp prend temp faire travail d investigation avant proposer client marchands peu scrupuleux tombe panneau souhaitais simplement dénoncer avertir futurs acheteurs bien sûr personne faire leçon vp tant gérant d entreprise c est pari risqué prendre client ânes
18448,produits l on trouve boutique donc côté unique donne touche originale l achat cependant certaines ventes sport a produits hommes alors l image d appel fait penser hommes femmes tailles usuelles chaussures dommage le frais port parfois trop importants rapport valeur d achat
18449,adore depuis plus an trop marque fabriquent spécialement ventes privées produits article qualité moindre voire médiocre surtout vêtements chaussures reste faut rester vigilant car arrive souvent trouver prix équivalents voire moins chers net high tech tech électroménager
18450,bonnes affaire site tout ca plus depuis longtemps voire arnaque vraiment hésiter vérifier d autres site avant commander prix barrés correspondent prix collection vieilles moins an souvent commandez recevez toutes pièces remboursées frais envoi frais port exorbitants impossible communiquer personne impossible d annuler commande retourner commande si posséder uniquement smatphone jamais commander meubles
18451,n achetez jamais meubles chez ventes privees commandes litiges toutes commandesje viens ieme fois d appeler service client fait rien l annulation commandes n avez respecté condition d annulation delai legal retractation date livraison etait prevue entre mai j ai passė commandes maison campagne dont signerai l achat mai aucune livraison devait arriver avant cette date jours apres commande m envoyez mail m informant livraison d un meuble meubles objets d une commandes j appelle immediatement service client indiquer respectez condition vente demande l annulation toutes commandes si livrez ainsi maniere saucissonner commandes pensez client peuvent poser rtt receptionner commandes livrez fois m apercois depuis jeudi date á laquelle j ai demandé l annulation toutes commandes d avril comme site permettait l annulation commandes pde moins jours interdit depuis jeudi mail livrez commandes c est scandale refusez rembourser saisis mediateur consommation manquement grave droits consommateur poste tous mail site million consommateurs montrer pratiques frauduleuses bons client ventes privees a bien changé n ai jamais connu ça perdrez terme beaucoup client fideles outrée service client a ete indiqué reprises qu on rappelerait n ai aucun rappel merci remboursez sous heures gerer rapatriement colis transporteur aucun ca n accepeterai facturaction d un euro livraison veuillez annuler ėgalement forfait livraison arnaque parce m avez facturė ormes livraisons bien cordialement
18452,déjà acheté nombreux produits chez toujours satisfait merci
18453,pris place parc attraction ermenonville elles prélevées deux fois car première fois a incident disait soucis donc refait paiement seconde fois ça date après plusieurs réclamations relancent téléphone réponse toujours a transmis service comptabilité a jour encore remboursement peu abusé sais si refait commande chez vente privée ça fait mois passé ça traîne retraitée besoin cet argent contente tout
18454,manque communication depuis quelques mois limite achat exemple plus pouvoir annuler commande tout suite le heure suivent alors l on peut ajouter pendant plusieurs jour
18455,affaire très intéressantes plus démontrer ni convaincre j ai affaire sav téléphone s est montré efficace rapide surtout a répondu demande d une façon satisfaisante toutefois j émettrais bémol joindre service informatique où faut il joindre être sûr tomber dessus l ai fait tapant aide peu près n importe où j ai quand réponse problème n est résolu j ai bien dirigée voilà
18456,site français qualité proposant multitude produits qualités marque paye impôts france sans vivre do français
18457,site clair rapidité choix ect bref tout bien
18458,manque récompenser fidélité croit
18459,achat chez okaïdi trop adorable tout comme m attendais merci je trouve site a énormément choix rabais toujours intéressants faut vraiment attendre bons plan comparant prix d origine systématiquement produits marque proposée
18460,commande sans problème délais livraison respectés rien dire
18461,diversité produits bonne qualité prix attractifs délais respectés bien longs bonne continuation cdt
18462,cette application parfaite si entreprises adhèrent plus réactives niveau délais livraison souvent inacceptables
18463,service client complétement fermé moindre demande passez réservation d hôtel si quelque chose va chacun renvoie balle l un disant c est l autre qu il faut demander résultat réservation eur perdue car erreur date
18464,d excellents produits navigation claire précise
18465,cliente depuis création jamais moindre souci
18466,bien besoin renouveler offre attractivité prix reduction
18467,plusieurs commandes passées vente privée j en très contente délais livraison respecté prix intéressants qualité produits rien re dire
18468,frais port parfois chers rend produits aussi chers qu en magasin
18469,commandez chez impossible modifier l adresse livraison alors colis n est encore sortie dépôt impossible également d annuler commande malgré délai légal rétractation service client tout a l écoute
18470,recommande vivement prix très intéressants nombreuses marque produits très diversifiés
18471,très bien général reste améliorer condition tarifaires frais port surtout frais port ca retour eur c est excessif
18472,j ai toujours satisfaite produits commandés le retour facile faire
18473,malgré mauvais service poste colis ouverts abimés voir cassés vente privée reste l écoute rembourse facilement retours
18474,commande vente privée depuis plus an j ai toujours entièrement satisfaite service client qualité très bonne réactivité
18475,commande arrivée temp produits conformes impeccables retours dommage autant retenues achat
18476,très bien problèmes rares dûs général transporteurs poste autre colis non traçables plusieurs jours disparus vente privée assure
18477,faut avoir affaire service client car inexistant j ai déjà annulations commande sans être prévenue car produit n était plus disponible vêtements j ai pris risque commander canapé chez jalouse maison via site qualité n est bonne tout n ai obtenu réponse garantie après vente auprès prestataire silence totale plus jamais
18478,vente privee toujours autant e déçue qualité produits reçus visiblement issus fonds stock racket frais port dialogue quasi nul sav m étais éloignée plateforme depuis quelques temp dernièrement tout laissé tenter vente one day chaussettes haut gamme homme trop risque genre produit bingo vp a perdu bonnes vieilles habitude laisse flou depuis bonnes semaines date livraison prévue dépassée apparemment rien a bougé rappelle maintenant pourquoi restais loin d eux ah ça faire joli site belle mise page offres attractives savent suite service a plus personne a fuir
18479,bon site ventes privées choix large service client répond rapidement ca problème le point améliorer temp chargements page image application horaires forte affluence diminuer frais retours comme ça fait livraisons proposant point relais
18480,bonsoir ca d incident commande très peu moyen d échange facile réponse rapide toujours moyen d alternative objets conforme tromperie beaucoup choix marque délais d envoi rapides site attractifs
18481,cliente depuis années plus commandes compteur accroc shopping vente privée habille chausse toute famille équipe maison site permet faire plaisir ainsi ado homme toutes marque préférées le délais livraison annoncés toujours rapides généralement respectés quand ca prévenue reçois bon réduction pour avoir vérifié régulièrement prix avant remise affichés correspondent réellement prix public remise souvent plus intéressantes pendant soldes la qualité produits déçoit rarement contrairement autres site ventes privées pour résumer fan recommande vente privée
18482,très bon site beaucoup marque très intéressante tout renouvelé régulièrement n ai jamais aucun souci malgré nombre important commande j ai déjà passé x article a livré n ai besoin faire quoi site m avait déjà averti vite remboursé donc top recommande vivement
18483,viens d avoir très mauvaise surprise lors réception d une valise vente travel one cours site commande valise travel one reçois modèle similaire très ba gamme marque corinne cobson trouvez l erreur vente mensongère première site
18484,qualité service médiocre lors d un appel avoir plus renseignements changer l adresse livraison personne m agresse limite élevé disant qu il pouvait rien faire j ai halluciné quand fait remarque rapport façon répondre question a gardé attitude mot s excuser je passe moins moins commandes site
18485,excellente diversité produits marque très sérieux bons prix
18486,j ai passé commande valise marque travel one model winchester vente privée quelle surprise après ouverture carton voir valise marque renoma model williams model tres ressemblant celui initialement commandée version low cost forte odeur plastique manche télescopique referme mal couture plus douteuses fermeture bloque quand l ouvre ferme etc bref vente mensongère paie prix d une valise marque recevoir produit ba gamme tiens préciser j ai effectué dizaine commandes vente privée c est première laquelle j ai genre problème quelle déception
18487,scandaleuxje n ai l habitude venir noter service prestations commerçants devant autant d enfumerie n ai d autre choix j attends matelas depuis semaines a toujours livré ni remis livreur chaque jour n ai d autres retours devriez être livré d ici jours n ai non plus notification comme quoi allait avoir retard livraison résultat j emménagais appartement sans matelas faire nuit d hotel puis acheter autre matelas attendant livraison mien aussi service client prend compte précédents échanges effectués donc chaque fois demande quelque chose faut rappeler tout passif échanges enfin j ai demandé avoir remboursement frais livraison livraison expresse matelas sans avoir retour non plus demande donc résumé éviter tous prix
18488,petit plus a améliorer retours pénaliser client quand vee pee annonce prenez taille au dessus retrouvez vêtement paire chaussures trop grand
18489,vente privée a jamais déçue trouve large choix cadeaux diver originaux bijou chocolats etc produits utiles prix abordables le tout sans courir partout
18490,commandes récentes problèmeslivraison partielle livraison perdue vente privée perd c est peut être cela nom va changer et service téléphonique faudrait apprendre personnel sen mot service base travail bref si hésitez commander continuer hésiter vp n assume fait quoi payés commande service livraison le client n est remplir compte banque vp déjà livraison prend mois minimum argent placé faire intérêts mieux compte bancaire
18491,commande effectuer matelat eve mar livraison avril maximum jour toujours nouvelles livraison expédier site vp relais colis certifie jamais colis vp privée demande attendre semaines enquête du foutage g
18492,rares fois où n ai satisfaites produits remboursement s est fait très rapidementexcellent service clientproduits qualité
18493,étoiles déroulement différentes opérations
18494,produits toujours conformes livrés délais annoncés seul bémol temp entre commande livraison souvent plusieurs semaines freine achats
18495,prix intéressants mettrais seul bémol délais livraisons qui ventre privée fournisseur travaille trésorerie
18496,commandé chemisier zapa reçu ba survêtement téléphoné a confirmé ç erreur retourne demande remboursement vu pouvait plus satisfaire commande retourne ba survêtement precise peux rembourser rappelle dit toujours erreur envoi va rappeler possible donner numéro téléphone adresse mailj là aujourd hui numéro appelle le seul numéro connu aucun pouvoir apparemment
18497,achat meuble impossible monter abîmé rien va plus devon débrouiller renvoyer bien choix faut procurer carton aller déposer d point relais sinon remboursement incroyable merci vente privée
18498,très bonne expérience livraisons conformes
18499,prix si intéressant si compare autres site finalement frais logistique très élevées délais livraison invraisemblables surtout service après vente incapable donner moindre réponse arrogance incroyable sans aucune considération client vente privée oubliez service client respect qualité relation client pensez position acquise commanderai plus site pourtant bon client chez
18500,ravie d acheter vente privée recommande tous amis merci professionnalisme a bientôt nouveaux achats cordialement
18501,commandé lot boîte mouchoirs trois boîte bicarbonate j reçu boîte mouchoirs boîtes bicarbonate donc incomplets toute ligne le boîtes jamais pu tenir petits carton reçu je contacté proposé bon achat inférieur valeur produits manquants j alors demandé remboursement assure remboursement produits vais retourner donc incomplets sous déduction frais retour évalués forfairement vais donc recevoir aucun remboursement vu produits retourne valent montant frais port belle entourloupe service après vente
18502,n ai jamais déçu j achète toute confiance
18503,attention car depuis semaine a beaucoup faux avis vente privée autour avis négatifs faites tour page facebook cela donnera idée
18504,large choix offres intéressantes livraison rapide délais toujours respectés je recommande site
18506,j utilise beaucoup l appli déçue recevoir plus plus souvent colis abimés également recevoir tout produits j ai commandés ça m arrivait jamais avant maintenant c est assez régulier malheureusement le réponses service client toujours adéquates dirait qu il cherchent mot clé puis copient collent réponse type principe pourquoi quand coté demande impossible répondre faut repasser site poser nouvelle demande usant process quand a juste envie dire lisez question pourrez ensuite répondre directement dès premier mail ailleurs parfois prix n est aussi différent qu on peut avoir d autres site ventes ligne plus traditionnels ceci dit ça reste appli j utilise régulièrement moins encore peu quand meme
18507,objet jamais non rembourse l incompréhension colère j ai commandé février fauteuil lendemain j essaie d annuler commande car rends compte n est aille requise impossible vp dit d attendre livraison refuser fais er mar livreur relais colis m appelle fixer rdv livraison dis livrer retourner colis vp d accord a jour avril semaines plus tard toujours rembursee personne n est fichu dire pourquoi j ai appelé relais colis envoyé preuve retour vp a jour toujours rien l air objet n ai jamais main fuyez site plus jamais
18508,présentation claire procédures simple souples commander un service après vente grande qualité excellente réactivité esprit très commercial
18509,agréable pratique souvent avantageux excellent service client
18510,comment grande entreprise comme vente privée puisse être mesure assumer honorer engagement vi à vi client passé commande kooples depuis mois novembre aujourd hui avril mois plus tard reçu remboursement commande a annulée car article épuisés depuis décembre inadmissible inconcevable appelé près fois vente privé vain chaque service comptabilité reviendra vers demande remboursement a prise charge pire service client affirme avant passer commande internet faut lira condition générales si aujourd hui avant acheter brosse dent internet faudrait lira condition générales t il vente immobilière exige remboursement dénonce cette pratique décommande site achats
18511,très bon site quelques problèmes quantité non livrées exemple chaise plexus rouge noires commandées table cuisine seules noires arrivées plus noires malgré commande validée autre ca chaise longues jardin autrement bon service attention délai livraison très long
18512,site fiable service clientèle efficace toutefois prix affichés parfois équivalents d autres site ligne améliorer
18513,très bon site respect délais livraisons améliorer sinon site très sérieux
18514,site relativement bien fait simple utiliser suivi sérieux ca problème commandes bien suivies surtout expédiées emballages adéquats général peu casse peu article détériorés arrivée
18515,viens répondre grand questionnaire avis très positif ventreprivee cependant quelques point améliorer site application retour article peu visible mal expliqué délais livraison souvent trop long rapport deux gros concurrents livrent généralement plus vite plus vente délais h gros point négatif manque code promo supplémentaire celui existant parrainage effet tous entourage achète vente privée coup peux beneficier code réduction tandis autres marque vente privée font tant temp impression récompensez fidélité car effet cliente depuis nombreuse année jamais geste commercial part comme exemple attention particulière code promo anniversaire espère remarques constructives service cordialement
18517,tout titre précise client plus an gammes produits proposés large l alimentaire hitech vêtements article sport voyage bons plan j en oublie forcément produits s adressant tous néophyte pro tous prix offrant très généralement bonnes ristourne seul bémol pourrait être délai livraison parfois semble long annoncé avant paiement ligne n est donc jamais surprise soin délais livraisons respectés
18518,réserver voyage chez car service client extrêmement incompétent erreur descriptif logement dite vente privée informsent problème doi voir center parc center parcs dit peuvent rien faire car erreut leurs site mois après obtenu satisfaction font erreurs assument font aucun geste ère voyage réserve aussi dernier honte écœurée peu considération leurs membres a fuir car aucun sav
18519,très contente trouve beaucoup choix
18520,problème livraison commande numéro malheureusement livreur s est jamais présenté souhaite recevoir matériel non être remboursé a éviter jamais livré aucune solution proposée veepee venteprivee venteprivee veepee veepeeimpulse ouestmacommande arnaque
18521,jamais aucun problème tant livraisons retours seul petit bémol délais livraison peu longs le prix attractifs diversité produits proposés importante recommande toute confiance
18522,plusieurs commandes satisfaite tout bons produits faisant économies
18523,achats permettent accéder marque chic a prix abordables depuis acheté chez peux plus acheter ba gamme je deviens exigeante qualité grâce vousmerci
18524,plus temp passe plus prestation service client site déplorable passe commande ugg février reçois miracle ça seule satisfaction deux paires commandées plus moins e paire quand bonne pointure autre pointures dessous celle commandée comme habitude immédiatement appelle service client demander non remboursement échange bonne pointure précise vente toujours cours a cela répond cela impossible faut renvois paire bottines pose problème ferai ensuite rembourser encore courir tous sen réparer énième erreur vente privée veepee appelez comme voulez évidemment fais part mécontentement cela répond coup bon achat accepte évidemment plus mois après avoir retourner chaussures tjs sans remboursement part contacte nouveau service client savoir où cela e quand parier répond colis nulle part prouver bien envoyé agacée situation quand dingue faille toujours supplier obtenir réparation site envoie justificatif envoi mail réclame remboursement ainsi bon commande e j obtiens enfin remboursement maintenant dit a aucune trace promesse a faite concernant bon commande malgré tout offrait généreusement e bon achat aujourd hui pose deux question où passées chaussures retourné quoi prend client chez vente privée juste bande voleurs menteurs incompétents voilà tous
18526,service après vente digne d un cauchemar produit non livre montant encaissé plusieurs appels service après vente sans aucune efficacité dernière commande site
18527,offre diversifiée collection récentes site fiable mode déco n ai encore expérimenté voyage contre recommande vins
18528,trop erreurs livraison fois mois article reçus différents ceux commandés dommage
18529,fidèle cliente depuis années c est vente privée préférée vais tous joursce bien créer carte fidélité
18530,dommage stock partagés autres pay privalia espagne italie vente exclusive belgique du coup quand ventes ouvrent france stock déjà épuisés surtout bien souvent ventes proposée h avant france j ai peu sentiment d être manipulée n est plus pareil j ai connu l époque blog claudie
18531,pire pire fuyez vente priveemalgré leurs prix attractifs beaucoup problèmes erreur réf colis perdus etc liste malheureusement très longue bâtent record j commandé canapé prix super intéressant bien perdu colis kilo entrepôt aucune traçabilité interne très inquiétant je viens donc contacter encore service client charmant monsieur tél confirme cela arrive très très très souvent personnel conscient bordel interne
18532,achat m est jamais parvenu apparait commandes seul hic c est qu il a débité depuis mois fournis relevé bancaire celui paypal indique bien montant ainsi personne créditée vente privée numero carte bancaire etc rien fait demande toujours autre chose fournissant lien arrive message d erreur viens d ecrire médiateur sans trop faire d illusion tous ca n acheterai plus site
18533,bonjour j ai effectué commande jean s diesel vente privée j ai bien reçu article problème qu il vont pa j ai voulu faire retour site là rencontre souci taille impossible valider retour vente privée bloque retour cette technique a but décourager faisant perdre patience jeter l éponge retour pour arriver a fin doi appeler numéros surtaxés patienter entre min h avoir opératrice doit faire manipulation elle même je trouve coup ba inacceptable commanderai plus chez vente privée
18534,bonjour après lecture quelques avis confirme service site dégrade très fortement alors qu il a core quelques mois c était plutôt référence concernant dernières commandes canadian peak j ai reçu produit correspondant j avais commandé seconde bleuwellford produit n est jamais parti annulation commande certes remboursement effectué troisième addict livraison partie depuis selon suivi colis a bougé enfin tapis n est jamais arrivé réclamation faite jour commande addict reviendra vers avant quelle réactivité bien d accord j ai lu site vente ligne fuir
18535,ok petits achats fuir objets nécessitant transporteur j ai commandé canapé angle méridienne octobre payé e frais transport canapé devait être livré colis mi décembre reçois colis début janvier colis méridienne a jamais livrée transporteur a perdu colis service client incompétent besoin d appeler plusieurs fois envoie courriers recommandés appel service médiation ecommerce bref après retour marchandise livrée vente privée mar j attends toujours remboursement intégral commande l instant n ai remboursé e obtenu bons achats j attends donc remboursement e commande payée bien sûr j ai acheter autre canapé lamentable risque fort devoir plainte récupérer argent
18536,commandé chaise reçu problème service logistique mois après commande parce demande où eme chaise proposition remboursement bon achat euro moque teleconseillers impuissants donc conséquent inefficaces aucun contact sérieux
18537,voleurs service client infame fausses soldes
18538,réalisé l achat d un ensemble lit x sauthon elodie tiroir lit kit transformation site janvier l achat d une commode sauthon elodie assortie le colis contenant lit a indiqué comme expédié février la commode a livrée février l absence lit pourtant commandé avant le lit donc disparu depuis c est cauchemard reclamer reprise l ensemble remboursement global seul lit a remboursé reste kit transformation commode déja montée ajourd hui désemparés devant service client consternant raccroche nez bref n ai encore jamais d expérience client type tel montant engagé
18539,service client lamentable voir nul j ai reçu commande service table assiettes cassés j ai contacté plusieurs fois service client m ont proposé bons d achat franchement c est pénible j ai service table complet impossible d acheter assiettes l unité faute je comprends pourquoi peuvent rembourser remplacer plus jamais ferais achats vente privéerosa
18540,excellent tout s est super bien passé j ai vu tous avis négatifs après avoir commandé j avais peur être livrée fait colis a livré très rapidement pantalon d équitation montar va bien j ai fait économie pour part recommande site ravie achat
18541,oui faut vérifier prix avant voir si c est vraiment bonne affaire a vêtements jeux vacances expérience sav très positif rapide cherche solutionseul bémol v pas quand l acheter a pleins vente lequel pouvez profiter après zéro sent arnaqué vraiment dommage
18542,passez commande payer transaction accepté aucune commande affiche commande lendemain annule commande car erreur prix honteux
18543,hormis offres free nul fausses promo fuyez
18544,vente privée webmarchand dirais plutôt petits malins font croire faites systématiquement affaire cependant n hésitez rechercher vrais prix ceux barres ex moment sièges auto baby auto proposés oui prix faux réf jan vivitta negro vendu lieu petite recherches plus tard trouve lieu alors consommables peut être intéressant encore fois tous mois conseil vérifier prix internet surtout vérifier promo magasin dis vois apprends rien
18545,passé commande vente privée vente dpam le colis devait être livré sauf aucune trace colis impossible avoir preuve envoi colis doivent lancer enquête pourquoi dire encaissent commandes article stock repoussent remboursement veux bien entendre colis perdu encore fallu flashé départ entrepôts facile sortir étiquette envoi je fais aucun doute recevrai jamais cette commande vais mettre beaucoup temp faire rembourser
18546,marketing débit lors achats fonctionnent très bien chez vente privée peut être seuls choses résumé dysfonctionnement toute ligne achat d une table novembre livraison retard décembre d une table cassée nous mar toujours remboursé malgré très nombreux appels passe promesses d appel responsables tenues cela fait donc mois vente privée a près appartiennent qu il rendent parce j ai trouvé pub alléchante fait avoir c est sentiment profond réfléchissez avant d acheter
18547,catastrophe depuis quelques mois grand m importe quoi client depuis an plus d achats vais fuir cette enseigne jusqu a environ mois ça allait si problème sav ok dédommagement bons achats souvent problème ventes trois derniers achat catastrophiques montre abîmée livraison car envoyée sous enveloppe bulle sans protection radiateur cabossé car envoyé directement colis fabriquant sans protection supplémentaire retour faire évidement mois être remboursé après multiple relances aujourd hui service d assiette envoyé colis chacune pièces erreur colis mauvaise référence envoyée d où kilo réemballer renvoyer service client a qu une expression désolés donc fini vente privée com vepee comme veulent maintenant s appeler
18548,bonjour voulais faire parvenir experience d achat vente privée veepee commande passée debut decembre montant livraison sans cesse reportée laissent sans nouvelles retard livraison depuis fevrier toujours ete livrée commande du coup demande remboursement reponse bref si commandez site preparez a etre livré perdre temp fou demandant sans cesse remboursement n obtiendrez jamais final perte temp perte d argent
18549,j ai commandé sac promo disant marque victor hugo coute a base eur c est loin d d être vrai car l ai reçu plastique alors vrai reçoit pochette tissu emballé soigneusement c est ca sac fabriqué chine a couté moins euro vendu a euro c est inadmissible cette politique d arnaque prennent fait
18550,bonjour acheté meuble minar qualité bonne état lamentable déjà monté moitié angle droit porte frotte a peinture manque certains endroits car a choc vais chercher manifester internet auprès million consommateurs avertir client manque qualité fuyez livraison a facturée alors bonnes affaire ira ailleurs
18551,colis arrivé article moins l autre correspond l article commandé doi battre obtenir remboursement l article non reçu a toujours remboursé d ailleurs renvois l article n est conforme reçois mail disant motif retour n est valide c est vente privée trompe c est client paie vente privée prend client pigeon c est inadmissible acheter chez vente privée c est l assurance d être arnaqué a fuir
18552,service après vente nul a reçu matin machine payée explosee carton coup tout suite appeler service client dit a responsable va rappeler appeler fois toujours app responsable car celui ci doit commissionner transporteur i vienne récupérer colis h posé journée rtt bloquée chez depuis h matin attends tout monde fiche chez vente privee raquette client fiche après si commande honorée non service inexistant chez vente privée
18553,évitez vente privée voyage fait arrive problème étranger voyagiste moque complètement répondent prendre contact agence voyage sun trade travel redressement judiciaire donc raconte soucis hôtel transfert conseil réfléchissez deux fois avant partir
18554,prix référence gonflérabais important prix restant supérieur fait ailleurs webproduit chinois ba gamme déguisé produit luxea fuir
18555,soucis faire venir faire repartir c est autre chose ça n allait produit l ai renvoyé temp n est jamais arrivé l ai récupéré appelé fois savent jamais doi toujours patient rappeler jours après temp d autres personnes voient dossier bla bla blaça fait bientôt an remboursement peux m asseoir dessus
18556,ventes privées plus effet marque concernées également solde moment dite vente privée mauvaise suprise découvrir site marque livraison retour gratuit ca venteprivee com comme savez produits rarement conforme commande retour presque indispensable faut nouveau payer bien sûr faire argent client fournisseur prime tout gagné jusqu quand perde beaucoup fidèle cela faisait longtemps commandé retournerai apparemment loin être seule
18557,site vente faux prix etait epinglé a sujet sav serieux tout
18558,malgré produits a priori l air intéressant moins cher qu ailleurs commanderai sans doute plus chez délais toujours très longs produits présentent plus plus gros défauts plus partie article presque systématiquement manquante vente privée cache derrière phrase rupture chez fournisseur or exemple lorsque l on achète draps drap housse housse couette tay faire parure complète qu on livre moitié retrouve frais article non utilisables bien sûr manière dédommager sous forme bons d achat utiliser lors d une prochaine commande chez gagnants final client s engagent pseudo dédommagement rapporte encore
18559,relation client catastrophique clairement priorité subis vol suite dysfonctionnement partenariat service client aucun rappel réponses risiblement incohérentes service client bref site a loupé coche bye bye dinosaure vente ligne
18560,attention si demandez retrait ancien appareil ménager achetant nouveau c est tout simplement arnaque escroquerie alors qu il a supplément prix assurer recyclage retrait appareil j ai livrée livreur a dit qu il n était prévu reprise depuis service client ballade fait barrage passer aucun responsable ancienne machine laver toujours plein milieu cuisine courrier recommandé ar service réclamations toujours sans réponse alors fuyez escrocs plusieurs raisons respectent leurs engagement envers l environnement plus prix souvent plus élevé qu ailleurs quant n ai dit dernier mot l obligation respecter l article r code l environnement l arrêté d octobre a fuire
18561,prix souvent aussi chère qu en direct voir parfois plus chèresinon dernière commande j ai reçu moitié sans être remboursé recommande plus site marchand
18562,gros problème c est ventes proposés très souvent vraiment vrais bons plan arrive pouvez trouver moins cher ailleurs
18563,hormis offres free nul fausses promo fuyez
18564,vente privée webmarchand dirais plutôt petits malins font croire faites systématiquement affaire cependant n hésitez rechercher vrais prix ceux barres ex moment sièges auto baby auto proposés oui prix faux réf jan vivitta negro vendu lieu petite recherches plus tard trouve lieu alors consommables peut être intéressant encore fois tous mois conseil vérifier prix internet surtout vérifier promo magasin dis vois apprends rien
18565,passé commande vente privée vente dpam le colis devait être livré sauf aucune trace colis impossible avoir preuve envoi colis doivent lancer enquête pourquoi dire encaissent commandes article stock repoussent remboursement veux bien entendre colis perdu encore fallu flashé départ entrepôts facile sortir étiquette envoi je fais aucun doute recevrai jamais cette commande vais mettre beaucoup temp faire rembourser
18566,marketing débit lors achats fonctionnent très bien chez vente privée peut être seuls choses résumé dysfonctionnement toute ligne achat d une table novembre livraison retard décembre d une table cassée nous mar toujours remboursé malgré très nombreux appels passe promesses d appel responsables tenues cela fait donc mois vente privée a près appartiennent qu il rendent parce j ai trouvé pub alléchante fait avoir c est sentiment profond réfléchissez avant d acheter
18567,catastrophe depuis quelques mois grand m importe quoi client depuis an plus d achats vais fuir cette enseigne jusqu a environ mois ça allait si problème sav ok dédommagement bons achats souvent problème ventes trois derniers achat catastrophiques montre abîmée livraison car envoyée sous enveloppe bulle sans protection radiateur cabossé car envoyé directement colis fabriquant sans protection supplémentaire retour faire évidement mois être remboursé après multiple relances aujourd hui service d assiette envoyé colis chacune pièces erreur colis mauvaise référence envoyée d où kilo réemballer renvoyer service client a qu une expression désolés donc fini vente privée com vepee comme veulent maintenant s appeler
